epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2447,2.18029,2.1408,2.15485,0.36867,0.27111,0.18569,0.08181,1.75539,2.18278,2.03294,0.000658436,0.000658436,0.000658436
2,63.8772,1.94128,1.54993,2.08712,0.44354,0.2652,0.21516,0.0892,1.79735,1.48126,2.17508,0.00129887,0.00129887,0.00129887
3,88.7768,1.94429,1.44845,2.05929,0.44764,0.25188,0.21552,0.09312,1.89933,1.9369,2.34239,0.0019129,0.0019129,0.0019129
4,111.148,1.91725,1.48048,2.13161,0.50899,0.27111,0.22665,0.09587,1.896,1.53952,2.28592,0.0018812,0.0018812,0.0018812
5,133.267,1.90539,1.42021,2.09297,0.50365,0.26098,0.23286,0.10399,1.8479,1.52296,2.2593,0.0018416,0.0018416,0.0018416
6,154.99,1.84995,1.36503,2.08791,0.52304,0.27365,0.25942,0.1181,1.86401,1.42393,2.27067,0.001802,0.001802,0.001802
7,176.743,1.82881,1.35931,2.02353,0.51787,0.24403,0.23229,0.10528,1.87678,1.34586,2.23583,0.0017624,0.0017624,0.0017624
8,197.21,1.8444,1.32955,2.03486,0.54357,0.26689,0.24913,0.11966,1.8185,1.2463,2.18623,0.0017228,0.0017228,0.0017228
9,220.307,1.79579,1.29075,2.00074,0.51931,0.27534,0.26156,0.1201,1.80101,1.25763,2.14627,0.0016832,0.0016832,0.0016832
10,241.759,1.78384,1.3052,1.98473,0.49045,0.26436,0.24757,0.11417,1.80244,1.36221,2.19444,0.0016436,0.0016436,0.0016436
11,262.768,1.78968,1.33881,2.0398,0.54919,0.26031,0.25241,0.10963,1.89277,1.34698,2.25198,0.001604,0.001604,0.001604
12,284.481,1.76828,1.2523,1.97701,0.56072,0.2803,0.2726,0.12704,1.80006,1.21332,2.13274,0.0015644,0.0015644,0.0015644
13,324.957,1.76508,1.24289,1.96202,0.54113,0.26182,0.26509,0.12227,1.80771,1.19112,2.14505,0.0015248,0.0015248,0.0015248
14,344.682,1.71518,1.19919,1.95394,0.51985,0.26098,0.25246,0.11988,1.79198,1.26932,2.10866,0.0014852,0.0014852,0.0014852
15,364.887,1.70384,1.22455,1.966,0.51342,0.26267,0.26716,0.12508,1.76021,1.21383,2.13476,0.0014456,0.0014456,0.0014456
16,387.059,1.70896,1.22572,1.99234,0.55003,0.27787,0.26831,0.12472,1.76086,1.21012,2.15206,0.001406,0.001406,0.001406
17,431.591,1.67783,1.17108,1.94161,0.53982,0.28378,0.2655,0.12876,1.70783,1.24483,2.09307,0.0013664,0.0013664,0.0013664
18,456.898,1.65833,1.1728,1.9213,0.56395,0.28547,0.27774,0.12852,1.79968,1.20415,2.14165,0.0013268,0.0013268,0.0013268
19,479.135,1.65953,1.14077,1.89722,0.5218,0.2576,0.25474,0.11737,1.80715,1.2558,2.10823,0.0012872,0.0012872,0.0012872
20,499.378,1.65555,1.12303,1.91618,0.54826,0.28547,0.28834,0.13512,1.70388,1.12885,2.11033,0.0012476,0.0012476,0.0012476
21,521.657,1.63352,1.12818,1.88946,0.60322,0.28547,0.28341,0.13295,1.70483,1.21639,2.11076,0.001208,0.001208,0.001208
22,542.582,1.60533,1.12308,1.88096,0.55649,0.28463,0.27931,0.13417,1.67602,1.22903,2.1135,0.0011684,0.0011684,0.0011684
23,573.941,1.60045,1.07959,1.86125,0.57408,0.28209,0.29101,0.14532,1.61294,1.13063,2.0761,0.0011288,0.0011288,0.0011288
24,595.794,1.60929,1.10997,1.88912,0.53583,0.26605,0.2729,0.13372,1.6712,1.1882,2.14251,0.0010892,0.0010892,0.0010892
25,615.683,1.59621,1.07499,1.84644,0.57609,0.28236,0.2916,0.14022,1.69961,1.11886,2.11017,0.0010496,0.0010496,0.0010496
26,637.141,1.56629,1.08197,1.83609,0.5927,0.27872,0.29789,0.1415,1.70412,1.14901,2.11528,0.00101,0.00101,0.00101
27,658.859,1.5842,1.08411,1.85541,0.54798,0.27787,0.28368,0.13724,1.71755,1.10376,2.12143,0.0009704,0.0009704,0.0009704
28,679.679,1.53708,1.03393,1.83386,0.56309,0.27787,0.29107,0.14149,1.68069,1.10377,2.14444,0.0009308,0.0009308,0.0009308
29,701.334,1.52331,1.02767,1.82204,0.56288,0.28041,0.28519,0.13806,1.63934,1.12508,2.07816,0.0008912,0.0008912,0.0008912
30,723.539,1.53911,1.05111,1.86085,0.54984,0.29504,0.29836,0.143,1.63123,1.09887,2.02574,0.0008516,0.0008516,0.0008516
31,748.4,1.47827,0.99833,1.80203,0.60594,0.28125,0.29008,0.14272,1.61493,1.07472,2.06107,0.000812,0.000812,0.000812
